Liste 1 : 
AUTREMENT et ENSEMBLE
Michel LEBLANC
Marie-Alice DEBUISSER
Jean-Claude THUILLIER
Jacqueline HEURTAULT
Gilles PAPIN
Françoise SMESSAERT
Yves GAUTHIER
Agnès MIARA-MAUBANT
Eric BETTENS
Marion KACZKOWSKI
Guillaume DUTRIAUX
Marie-Françoise ELIPOT
Yannick CARBONNAUX
Christine BENOIT
Damien BARATTE
Béatrice TISON
Aldric BOURGEOIS
Sylvie HARENDARCZYK
Florian LESNE


Liste 2 : Poursuivons ensemble pour Pierrefonds et Palesne
Florence DEMOUY
Romain RIBEIRO
Emmanuelle LEMAITRE
Stéphane DUTILLOY
Hélène DEFOSSEZ
Joachim Nationalité Allemande LÜDER
Laëtitia PIERRON
Christian GUERIN
Karine DUTEIL
Patrick GUERREIRO
Cécile ARANGO
Chérif OUCHEN
Nathalie OWCZAREK
Patrice FLUHR
Margaux TELLIER
Gérard LANNIER
Samantha FOUQUOIRE
Romain GIRARD-HAUTBOUT
Elsa PROTHAIS
Jean-Claude CARLIER
Virginie ANTHONY
